               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11129,            0.024064,            0.046172,           0.0035954,             0.46667,           0.0067447,           0.0013296,             0.10832,            0.018339,            0.042334,              0.0874,              0.0014,              0.0014
                   1,            0.086286,            0.023276,            0.035188,           0.0043949,             0.93333,             0.25943,            0.085836,            0.076139,            0.014839,            0.027301,            0.073843,           0.0028426,           0.0028426
                   2,            0.069543,            0.019621,              0.0233,             0.41888,                 0.4,             0.49997,             0.17678,            0.071235,            0.011189,            0.017746,            0.060226,           0.0042258,           0.0042258
                   3,            0.070155,            0.015582,            0.021836,             0.33608,                 0.3,             0.21658,            0.068146,            0.072602,           0.0078931,            0.019315,             0.04655,           0.0055495,           0.0055495
                   4,            0.064704,            0.014806,            0.016814,              0.7408,             0.50561,             0.55484,             0.16031,            0.063781,           0.0076308,            0.016568,            0.032814,           0.0068139,           0.0068139
                   5,            0.060456,            0.013057,            0.013076,             0.61391,             0.46667,             0.50201,             0.20552,            0.064882,           0.0078607,            0.013547,            0.019019,           0.0080189,           0.0080189
                   6,            0.058884,            0.012253,            0.013597,             0.73129,             0.65173,             0.69279,             0.22495,            0.059174,           0.0064826,            0.012918,            0.008812,            0.008812,            0.008812
                   7,             0.05952,            0.011413,            0.011048,             0.52012,             0.57557,             0.66961,             0.28893,            0.054128,           0.0064244,            0.011041,            0.008812,            0.008812,            0.008812
                   8,            0.055328,            0.011201,           0.0093142,              0.6384,             0.46667,             0.60822,             0.22428,            0.059145,           0.0061069,            0.011729,            0.008614,            0.008614,            0.008614
                   9,            0.053074,           0.0099492,           0.0074342,              0.6012,             0.67615,              0.7258,             0.34184,            0.053652,           0.0057182,            0.006575,            0.008416,            0.008416,            0.008416
